INCOMING,P8,P7,P6,P5,P2-4,P1-3
MDN MD 1,"A. 0 ()
B. 3 (5,6,7)","A. 3 (5,6,8)","A. 3 (5,7,8)
B. 3 (5,7,8)","A. 3 (6,7,8)","A. 4 (5,6,7,8)","A. 5 (2,5,6,7,8)"
MDN MD 2,"A. 0 
B. 3 (5,6,7)
C. 3 (5,6,7)","A. 3 (5,6,8) 
B. 2 (5,6) 1 (8)
C. 2 (5,6) 1 (8)","A. 3 (5,7,8)
B. 2 (5,7) 1 (8)
C. 2 (5,7) 1 (8)","A. 3 (6,7,8)
B. 2 (6,7) 1 (8)
C. 2 (6,7) 1 (8)","A. 3 (5,6,7) 1 (8)","A. 4 (2,5,6,7) 1 (8)"
TATA DN,"A. 0 
B. 3 (5,6,7)
C. 3 (5,6,7)","A. 2 (5,6) 1 (8)
B. 2 (5,6)","A. 2 (5,7) 1 (8)
B. 2 (5,7)
C. 2 (5,7)","A. 2 (6,7) 1 (8)
B. 2 (6,7)
C. 3 (6,7,2)","A. 0 () 4 (5,6,7,8)","A. 1 (2) 4 (5,6,7,8)"
HIJ MD 1 (DN),"A. 3 (5,6,7) 2 (2,1)
B. 3 (5,6,7) 2 (2,1)","A. 2 (5,6) 1 (8)","A. 2 (5,7) 1 (8)
B. 2 (5,7) 1 (8)","A. 2 (6,7) 1 (8)","A. 0 () 5 (1,5,6,7,8)","A. 0 () 5 (2,5,6,7,8)
B. 1 (2) 4 (5,6,7,8)"
TATA MD,"A. 5 (1,2,5,6,7)
B. 5 (1,2,5,6,7)","A. 4 (1,2,5,6) 1 (8)","A. 4 (1,2,5,6) 1 (8)
B. 4 (1,2,5,6) 1 (8)","A. 4 (1,2,5,6) 1 (8)",A. 1 (1),A. 0 ()
TATA UP,--NA--,--NA--,--NA--,--NA--,--NA--,--NA--
HIJ MD 2 (UP),--NA--,--NA--,--NA--,--NA--,A. 1 (1),1. 0 ()
HWH DN,--NA--,--NA--,--NA--,--NA--,--NA--,--NA--
HWH MD,A. 1 0 ,--NA--,A. 0 () 1 (8),A. 0 (),"A. 3 (5,6,8)","A. 5 (2,5,6,7,8)"
HWH UP,"B. 5 (1,2,5,6,7)","A. 5 (1,2,5,6,8)","A. 5 (1,2,5,7,8)","A. 2 (1,2)","A. 4 (1,5,6,8)
B. 2 (1,5)
C. 1 (1)",A. 0 ()
