date,trainNo,trainName,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,actual_platform_arrival,suggestions,actual_platform,incoming_line,outgoing_line,Remarks
2026-01-20,12254,Anga Express (PT),00:55,01:03,19:16,,19:16,"5, 6, 8, 7","1, 3",HWH UP,,waiting list
2026-01-20,12254,Anga Express (PT),00:55,01:03,19:23,,19:23,"5, 6, 8, 7",5,HWH UP,,unassign
2026-01-20,12254,Anga Express (PT),00:55,01:03,19:27,,19:27,"1, 5, 6, 8, 7",5,HWH UP,,waiting list
2026-01-20,12254,Anga Express (PT),00:55,01:03,19:39,,19:39,"1, 5, 6, 8, 7","1, 3",HWH UP,,
2026-01-20,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,19:14,,19:14,"5, 8, 6, 2, 1","1, 3",HWH MD,,waiting list
2026-01-20,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,19:16,,19:16,"5, 8, 6, 1",5,HWH MD,,waiting list
2026-01-20,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,19:23,,19:23,"5, 8, 6","1, 3",HWH MD,,waiting list
2026-01-20,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,19:39,19:46,19:39,"5, 8, 6",5,HWH MD,TATA UP,
2026-01-20,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,19:15,,19:15,"2, 8, 6, 7, 1","1, 3",TATA DN,,waiting list
2026-01-20,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,19:16,,19:16,"2, 8, 6, 7, 5, 1",8,TATA DN,,waiting list
2026-01-20,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,19:23,,19:23,"8, 6, 7","2, 4",TATA DN,,waiting list
2026-01-20,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,19:39,19:39,19:39,"8, 6, 7",7,TATA DN,HWH MID,
2026-01-20,18086,Ranchi - Kharagpur MEMU Express (UnReserved)*,23:45,,19:39,19:46,19:39,"8, 4, 2, 6, 7, 5, 1, 3",4,TATA DN,HWH DN,
